fname,lname,counts
Masud,Kimiai,30
Iraj,Ghaderi,30
Samuel,Khachikian,27
Dariush,Mehrjui,24
Mohsen,Makhmalbaf,19
Ebrahim,Hatamikia,19
Syamak,Yasami,18
Shapur,Gharib,18
Kamran,Ghadakchian,17
Alireza,Davoudnejad,15
Fereydoun,Jeyrani,15
Amir,Shervan,15
Kamal,Tabrizi,14
Tahmineh,Milani,14
Ali,Hatami,14
Kiumars,Poorahmad,14
Ali,Atshani,13
Farzad,Motamen,12
Rasool,Mollagholi Poor,12
Saeed,Soheili,11
Sirus,Alvand,11
Behruz,Afkhami,11
Khosrow,Parvizi,11
Arash,Moayerian,11
Abbas,Kiarostami,11
Abbas,Rafei,11
Mehdi,Sabbaghzadeh,10
Yadollah,Samadi,10
Parviz,Sayyad,10
Bahram,Beizai,10
Rakhshan,Banietemad,10
Mohammad-Ali,Talebi,10
Abolhassan,Davoodi,10
Fereydoun,Jourak,10
Mehdi,Fakhimzadeh,10
Kianoush,Ayari,10
Abolfazl,Jalili,9
Abdolreza,Kahani,9
Mohamad,Ali Fardin,9
Bahman,Farmanara,9
Saber,Rahbar,9
Pouran,Derakhshandeh,9
Esmail,Kushan,9
Reza,Mirkarimi,9
Kambuzia,Partovi,9
Majid,Majidi,9
Rasoul,Sadrameli,9
Manouchehr,Hadi,8
Amir,Naderi,8
Naser,Taghvai,8
Jafar,Panahi,8
Saman,Moghadam,8
Jamshid,Heydari,8
Ebrahim,Forouzesh,8
Bahram,Tavakoli,8
Dariush,Farhang,8
Masoud,Dehnamaki,8
Hassan,Hedayat,8
Mohamad,Reza Honarmand,8
Ahmad,Reza Mo'tamedi,7
Mani,Haghighi,7
Saman,Salur,7
Asghar,Farhadi,7
Mohammad,Rasoulof,7
Ali,Shah Hatami,7
Alireza,Amini,7
Nezam,Fatemi,7
Hatef,Alimardani,7
Mohammad,Motevaselani,7
Parviz,Shahbazi,7
Alireza,Raisian,7
Maziar,Miri,7
Reza,Mirlohi,7
Mostafa,Kiayee,7
Gholam,Reza Ramezani,6
Reza,Safai,6
Jalal,Moghadam,6
Iraj,Tahmasb,6
Fereydun,Gole,6
Saeed,Motalebi,6
Mohammad,Ali Sajjadi,6
Mohammad,Hossein Latifi,6
Hamid,Tamjidi,6
Homayoun,Assadian,6
Pourya,Azarbayjani,6
Masoud,Jafari Jozani,6
Rouhollah,Hejazi,6
Bahman,Goodarzi,5
Amir,Ghavidel,5
Niki,Karimi,5
Nosratollah,Karimi,5
T++rker,Inanoglu,5
Rambod,Javan,5
Mehdi,Karampour,5
Fereidoun,Hasanpour,5
Ahmad,Reza Darvish,5
Khosro,Masumi,5
Hamid,Nematollah,5
Kazem,Ma'asoumi,5
Hossein,FarahBakhsh,5
Vahid,Mousaian,5
Majid,Mohseni,5
Nosratolah,Vahdat,5
Muhammad,Bozorgnia,5
Mehdi,Raeis-Firooz,5
Ali,Zhekan,5
Mohsen,Mohseni-Nasab,5
Kazem,Rast Goftar,5
Naser,Malek Motiee,5
Mahmoud,Kushan,5
Masoud,Atyabi,5
Samira,Makhmalbaf,4
Amir,Hossein Saghafi,4
Parviz,Kimiavi,4
Majid,Barzegar,4
Mehdi,Rahmani,4
Ida,Panahandeh,4
Keivan,Alimohammadi,4
Farhad,Mehranfar,4
Rafi,Pitts,4
Mohamad,Reza Aalami,4
Mohammad,Hossein Mahdavian,4
Vahid,Nikkhah Azad,4
Behnam,Behzadi,4
Ahmad,Amini,4
Esmaeil,Riyahi,4
Armaees,Aghamaliyan,4
Mohsen,Abdolvahab,4
Ferial,Behzad,4
Reza,Khatibi,4
Mohammad,Hadi Karimi,4
Masoud,Karamati,4
Amir,Shahab Razavian,4
Bijan,Mirbagheri,4
Houman,Seyyedi,4
Mohammad,Mehdi Asgarpour,4
Parviz,Noori,4
Behrouz,Shoaybi,4
