fname,lname,movie_name,counts
MohamadReza,Sharifinia,Three Strangers,2
Negar,Abedi,Intoxicated Eye,2
Abdelmajid,Lakhal,Bab'Aziz: The Prince That Contemplated His Soul,2
Elnaz,Shakerdust,The Singer,2
akhtar,karimi zand,Akbar Dilmaj,2
Alireza,Jalali-tabar,When We Are All Sleep,2
Mahnaz,Afshar,Thirteen Cats on the Hot Gabled Roof,2
Behnaz,Tavakoli,The Color Purple,2
HamidReza,Pegah,The Confrontation,2
Iren,zazians,Akbar Dilmaj,2
Hamid,Jebeli,Redhat and the Brat,2
Nima,Shahrokh Shahi,Me and Sharmin,2
Khosrow,Ahmadi,Once Upon a Time,3
Ghazal,Shakeri,Auntie Frog,2
Parviz,Shahinkhou,Iran Is My Land,2
Mania,Akbari,20 Fingers,2
Homayoon,Rokani,The White Balloon,2
Ziba,Hashemi,Endless Dreams,2
Showkat,Hojjat,The Singer Cat,2
Nell,Ponsaers,Train Station,2
Siavash,Lashkari,Two Angels,2
Anahita,Khosravi,Auntie Frog,2
Amin,Tarokh,Mother,2
Abolhassan,Mohammadi,Iran Is My Land,2
Atila,Pesiani,Green Ashes,2
MohammadReza,Golzar,Atomic Heart Mother,2
Kourosh,Tahami,From Afar,3
Shirin,Yazdanbakhsh,Inversion,2
Peter,Hart,Train Station,2
Charles,Grantham,Train Station,2
Niousha,Zeighami,The Confrontation,2
Akbar,Abdi,Dreamy,2
Parviz,Parastui,Los Angeles/Tehran,2
Amir,Jadidi,Crazy Rook,2
Mitra,Hajjar,Rokhsareh,2
Shaghayegh,Farahani,Dreamy,2
Akbar,Abdi,Snowman,2
Behnam,Ghorbani,Intoxicated Eye,2
Azita,Hajian,Thief of Dolls,2
Behrouz,Vossoughi,The Compromise,2
Lora,Lee Ecobelli,Train Station,2
Mina,Mohammad Khani,The Mirror,2
Pouri,Baneai,The Falconet,2
Manos,Gavras,Mastermind,2
Jamshid,Hashempur,From Afar,3
Farimah,Farjami,Mother,2
Mehran,Rajabi,Two Angels,2
Hamid,Jebeli,Once Upon a Time,3
Sahar,Ghoreishi,Simple Worker Needed,2
Hasiba,Ebrahimi,Lina,2
Navid,Feyzabadi,Children of Heaven,2
Goli,Zanganeh,Sine-chak,2
Shahnaz,Tehrani,Samad and Sami-Leyla and Lili,2
Ladan,Mostofi,A Girl Named Tondar,2
Naser,Malek Motiee,Uncle No-Ruz,2
Nadia,Keyvani,Cheshmane John Malkovich 1: Viggo Mortensen,2
Richard,Harrison,Hajji Washington,2
Behnoosh,Bakhtiari,Privacy,2
Javad,Razavian,Sweet Life,2
Mahdi,Pakdel,Intoxicated Eye,2
Golab,Adineh,I Am Diego Maradona,2
Hooman,Barghnavard,Intoxicated Eye,2
Anahita,Ne'mati,Six and Five,2
Mahtab,Keramati,Ice Age,2
Rashid,Aslani,What's Up?,2
Parviz,Bozorgi,Suspicion,2
Rakesh,Shah,Train Station,2
Zafer,+ûnen,Can pazari,2
Mitra,Hajjar,Intoxicated Eye,2
Majid,Salehi,Three Strangers,2
C++neyt,Arkin,Malko+ºoglu - Cem Sultan,2
Majid,Moshiri,Invitation,2
Hossein,Hosseinzadeh,The Blade and the Silk,2
Mozhdeh,Shamsai,When We Are All Sleep,2
Pourhesabi,Mahyar,Orange Suit,2
Ezzatolah,Entezami,Mr. Gullible,2
Elnaz,Shakerdust,All Through the Night,2
Bahram,Radan,The Agitation,2
Khosro,Shakibai,A Girl Named Tondar,2
Parvin,Kheirbakhsh,Ayyoob,3
Manuchehr,Farid,Ballad of Tara,2
Amir-Hossein,Sadigh,Morabbaye shirin,2
Mahaya,Petrossian,A Girl Named Tondar,2
Armita,Moradi,Endless Dreams,2
Ezzatolah,Entezami,Once Upon a Time-Cinema,3
Bijan,Daneshmand,20 Fingers,2
Susan,Taslimi,Maybe Some Other Time,2
Arash,Aasefi,The Confrontation,2
Masoumeh,Ghasemipour,Sister,2
AliReza,Khamseh,Boo-ye khosh-e zendegi,2
Mehdi,Hashemi,Behtarin baba-ye donya,2
Khosro,Shakibai,Pari,2
Bita,Baadraan,Digari,2
Pejman,Bazeghi,Me and Sharmin,2
Saeed,Poursamimi,Ghaedeye bazi,2
Bill,Timoney,Under the Shadow,2
MohamadReza,Sharifinia,Devil's Daughter,2
Siamak,Safari,Confessions of My Dangerous Mind,2
Parviz,Sayyad,Samad and Sami-Leyla and Lili,2
Gholam-Hossein,Lotfi,Hoboot,3
Pouri,Baneai,Farewell to Tehran,2
MohamadAli,Fardin,Up in the Sky,2
Abby,Mulay,Train Station,2
Tom,Wayland,Under the Shadow,2
MohamadReza,Sharifinia,Morabbaye shirin,2
Hosein,Gil,The Dagger,2
