id,fname,lname,gender,yob
2114785,Behnoosh,Bakhtiari,female,1942
5978520,Reza,Feiz Noroozi,male,1985
1288315,Bahareh,Rahnama,female,1996
707308,Mehran,Rajabi,male,1950
3444024,Javad,Razavian,male,1969
1235696,Maryam,Karimi,female,1972
5599991,Mohamad,Dolati,male,1979
5600016,Agelem,Habibi,female,1963
5599979,Esmat,Vahedi,female,1957
5599975,Ameneh,Banizadeh,female,1972
5599965,Razieh,Jafari,female,1981
8759724,Hassan,Rezai,male,1984
5599978,Najibeh,Habibi,male,1978
479608,Emmanuelle,Laborit,female,1971
1197279,Jérôme,Horry,male,1962
252880,Nour,El-Sherif,male,1946
1234283,Ahmed,Haroun,male,1964
949215,Sanaa,Younes,female,1942
288204,Ahmed,Fouad Selim,male,1957
1734704,Maher,Essam,male,1969
5599984,Eveline,Sélim,female,1946
5600030,Rafik,Mohsen,male,1955
5600024,Hesham,Abd Elkhaleq,male,1960
5599990,Alaa,Mahgoub,male,1981
5599971,Fadi,Badour,male,1975
5600007,Nadim,Gargoura,male,1949
5600013,Reem,Bitar,female,1947
1233906,Dzana,Pinjo,female,1959
782898,Aleksandar,Seksan,male,1968
1235832,Tatjana,Sojic,female,1964
1778142,Ejla,Bavcic,female,1958
1188672,Ognjen,Blagojevic,male,1948
1232605,Lionel,Zizréel Guire,male,1997
1231502,René,Aimé Bassinga,male,1980
1232367,Lionel,Gaël Folikoue,male,1979
1232793,Rodrigue,André Idani,male,1964
1234654,Alex,Martial Traoré,male,1945
5600032,Marc,,male,1968
1127012,Hyppolite,Ouangrawa,male,1997
5600021,Justine,Sawadogo,female,1944
5599985,Haoua,Ouatara,female,1974
5600015,Milla,S. Saturnin,male,1985
5599964,Oumar,Barou Ouedraogo,male,1973
891927,Vladimir,Vega,male,1940
602217,Keren,Mor,female,1964
506270,Liron,Levo,male,1972
751741,Tomer,Russo,male,1973
44343,Tanvi,Azmi,female,1960
1231519,Kapil,Bawa,male,1965
1231283,Taleb,Adlah,male,1978
5090875,Talat,Hamdani,female,1946
5599972,Robert,Reardon,male,1950
2273340,Nell,Mooney,female,1941
1502479,George,R. Sheffey,male,1978
5600018,Maryann,Towne,female,1990
5599995,Suleman,Din,male,1996
308,Ernest,Borgnine,male,1917
846630,Tomorô,Taguchi,male,1957
39591,Kumiko,Asô,female,1978
256628,Akira,Emoto,male,1948
47963,Mitsuko,Baishô,female,1946
644523,Ken,Ogata,male,1937
1502206,Jake,Bern,male,1979
3636831,Cole,Blackwell,male,1981
2120304,Miki,Hayashida,female,1970
21201,Salvador,Allende,male,1908
1075954,Anil,Baral,male,1961
124133,George,W. Bush,male,1946
1539474,Amy,Hoerler,female,1972
457425,Henry,Kissinger,male,1923
684496,Augusto,Pinochet,male,1915
848533,Tetsurô,Tanba,male,1922
9150637,Sadaf,Asgari,female,1983
2359097,Sahar,Dolatshahi,female,1979
