pid,mid,role
2114785,10575054,nan
5978520,10575054,nan
1288315,10575054,nan
707308,10575054,nan
3444024,10575054,nan
1235696,328802,L'institutrice
5599991,328802,Enfant
5600016,328802,Enfant
5599979,328802,Enfant
5599975,328802,Enfant
5599965,328802,Enfant
8759724,328802,Enfant
5599978,328802,Enfant
479608,328802,Elle
1197279,328802,Lui
252880,328802,Youssef Chahine
1234283,328802,Le G'I
949215,328802,La mère
288204,328802,Le père
1734704,328802,Le Palestinien
5599984,328802,La journaliste
5600030,328802,nan
5600024,328802,nan
5599990,328802,nan
5599971,328802,nan
5600007,328802,nan
5600013,328802,nan
1233906,328802,Selma
782898,328802,Nedim
1235832,328802,Hanka
1778142,328802,L'intervenante de la maison des femmes
1188672,328802,Journalist
1232605,328802,Adama
1231502,328802,Ibrahim
1232367,328802,Gaël
1232793,328802,Rodrigue
1234654,328802,Alex
5600032,328802,Ben Laden
1127012,328802,L'oncle d'Adama
5600021,328802,La tante d'Adama
5599985,328802,La mère d'Adama
5600015,328802,Le policier de l'aéroport
5599964,328802,Le père de Rodrigue
891927,328802,Pablo
602217,328802,La journaliste
506270,328802,Le démineur
751741,328802,L'ambulancier
44343,328802,Talat Hamdani
1231519,328802,Salim Hamdani
1231283,328802,Adnaan Hamdani
5090875,328802,Taani
5599972,328802,Mr. Bonner
2273340,328802,Sylvia Franko
1502479,328802,Agent du FBI
5600018,328802,Agent du FBI
5599995,328802,Salman Hamdani
308,328802,L'homme
846630,328802,Yukichi Furuhashi
39591,328802,Sae Furuhashi
256628,328802,Sakichi Furuhashi
47963,328802,Kayo Furuhashi
644523,328802,Villageois
1502206,328802,Radio DJ Personality
3636831,328802,Police Cadet
2120304,328802,nan
21201,328802,nan
1075954,328802,Student on Subway
124133,328802,Self
1539474,328802,Funeral Attendee
457425,328802,Self
684496,328802,nan
848533,328802,nan
9150637,12800946,Yasi
2359097,12800946,Sara
354492,12800946,Sara's Mother
8927693,12800946,Armin
6091637,12800946,Hamed
10681052,12800946,Language teacher
794242,12800946,Sara's Father
7922716,12800946,Sina
1729506,424757,The Husband
1729506,424757,The Man
1178113,424757,The Wife
1178113,424757,The Woman
4299147,6217672,Morteza's Mother
8561101,6217672,Director
5331326,6217672,Dariush
6264177,6217672,Morteza's Father
9505166,6217672,nan
4654234,6217672,Morteza
5465553,6217672,Sina's Father
8562766,6217672,nan
3609236,6217672,Samad
8128979,6217672,Film Producer
9505147,6217672,Mehran
11698704,9755608,Molla Saleh
11259081,9755608,Foad
8113878,9755608,Army Officer
11259082,9755608,Iraqi Officer
11698715,9755608,nan
11698716,9755608,nan
6261995,4730990,Soheil
2790534,4730990,Abdolkarim
2053719,4730990,Elham
2756855,4730990,nan
788786,4730990,nan
5537885,4730990,nan
1172173,4730990,nan
8416,4730990,nan
634181,4730990,nan
2778978,4730990,nan
9614974,4730990,nan
439312,1173682,Minou
13841,1173682,Pegah
1954434,1173682,Pesar
452091,1173682,Rafi
1247823,1173682,Grandmother
675977,1173682,Masrour
286570,1173682,Amir
2079292,1173682,Hamed
5384595,1173682,Grandmother's youth
707308,1173682,Azizkhani
2769372,1173682,Setareh
12115468,1173682,Grocery store seller
3442597,1173682,Director of the Carpet Museum
260617,1173682,Khale Monir
2583299,1173682,Young woman on the street
4378865,1173682,Roya
5374876,1173682,Carpet buyer
11782400,1173682,Madam
5409962,1173682,Art Student
7381429,4760656,Narrator
3132725,4663708,Patrol
2260097,4663708,Mozaffari
7308147,4663708,Chakmeh Poosh
7308146,4663708,Zafar Zaferooni
7308145,4663708,Doctor
354508,4663708,Moosem
6346171,4663708,Mahtab
7308148,4663708,Shamloo
439307,4663708,Serjik
4328833,4663708,Javid
7844601,4663708,Prisoner
7308149,4663708,Modabber
1288315,4663708,Marmar
997881,4663708,Warden
812895,4663708,Hodhod
3614218,4663708,nan
7308151,4663708,The Receptionist
1367819,7897432,Bahman
7104443,7897432,Ahad
7939035,7897432,Ladan
2359097,7897432,Farangis
1655556,7897432,Zohreh
4443114,7897432,Navid
6109495,7897432,Faramarz
7060634,7897432,Farbod
2242905,7897432,Gholam Reza
6263502,7897432,Mahmoud
9884090,7897432,Saber
10311905,7897432,nan
1481465,7897432,Ladan's father
4215609,7897432,Fariborz
1368335,7897432,Sarvan
5331326,13491872,Sarah's father
267044,13491872,Sarah's mother
4904690,13491872,Sara
4431289,13491872,Mehri
2191478,13491872,Kati
9827076,13491872,Bahram
12078492,13491872,Mehri's son
12112130,13491872,Nazanin
12002669,13491872,Miss Ghaffari
10953857,13491872,Kati's friend
7970409,13491872,nan
5265056,5689610,Davoud
5070845,5689610,Aida
5201727,5689610,Aroosha
6091637,5689610,Mani
2756855,5689610,Majid
2153543,5689610,Davoud's Father
2114785,5689610,Davoud's Mother
1568421,5689610,Aida's Father
996450,5689610,Aida's Mother
1282391,5689610,Receptionist
4922487,5689610,Driver
2155679,5689610,Doctor
1367995,5689610,Teymuri
2122885,5689610,Interrogator
1184348,5689610,Daryadel
5587955,5689610,Marjan
2545346,5689610,Hojat
452091,1726583,Jamshid
2790534,1726583,Annet's driver
664388,1726583,Annet
4081311,1726583,nan
2013070,1726583,nan
637050,1726583,nan
1131109,1726583,nan
8433177,1726583,nan
557488,1726583,nan
11698589,1726583,nan
3309757,7166300,Amir
3884551,7166300,a Soldier's Wife
9149605,7166300,nan
9149604,7166300,Maryam
3395450,7166300,Masoud
8262746,7166300,nan
8769,7166300,Grandmother
1471547,6219484,Forough
8561115,6219484,nan
3885228,6219484,Hamideh
6948356,6219484,nan
1616918,6219484,nan
608214,6219484,Mohsen
8561114,6219484,nan
1855273,6219484,The Mother
3894716,8390150,Shaheen
2544899,8390150,Nilufar
7308147,8390150,Khosro
9853404,8390150,Sara
9853312,8390150,Saman
2791030,1515194,nan
1794495,1515194,nan
3620526,1515194,nan
3311657,1515194,Zari
794242,1515194,Reza
368689,9731048,Sayeh Tamaddon
608214,9731048,Mahan Houshyar
1758612,9731048,Detective
3132725,9731048,Foad Dashtara
451574,9731048,Sayeh's mother
2489612,9731048,Houman Fateh
3975594,9731048,Foad's wife
40857,9731048,House Owner
8605837,9731048,Young Girl
7499818,9731048,Young Boy
7174455,9731048,TV Manager
5176416,9731048,Woman by the Beach
9767359,9731048,Spanish company's assistant
8053871,9731048,Spanish company's manager
8575745,9731048,Sayeh's cousin
4511912,9731048,Ghaderi
11661708,9731048,nan
368017,6209994,Kamal
1568421,6209994,Jamal
4510528,6209994,Naaser Canada
2191478,6209994,Essi
2750387,6209994,Mohandes
10782747,6209994,nan
4433102,6209994,nan
8855919,6209994,nan
3151596,8338870,Shaho
1367819,8338870,Ali
1516116,8338870,Shilan
953586,8338870,Father
8562149,6218814,nan
6012811,6218814,nan
8562150,6218814,nan
8562148,6218814,Mr. Safari
287471,6193572,Ahmad
4299147,6193572,Mahtab
998142,6193572,Sima
5331326,6193572,Mansour
5828184,6193572,nan
8240831,6193572,Farnush
4159861,6193572,nan
632572,96747,nan
4945197,2290097,Alvart
259831,2290097,nan
4944598,2290097,Fariba
2318592,2290097,Elaheh
4203568,2290097,Sina
