mid,genre
10575054,Comedy
328802,Drama
12800946,Drama
424757,Drama
6217672,Drama
9755608,Drama
4730990,Comedy
1173682,Drama
4760656,Drama
4663708,Crime
7897432,Action
13491872,Drama
5689610,Comedy
1726583,Drama
7166300,Drama
6219484,Crime
8390150,Drama
1515194,Drama
9731048,Crime
6209994,Comedy
8338870,Drama
6218814,Drama
6193572,Drama
96747,Drama
2290097,Drama
1330177,Drama
4908854,Drama
318268,Adventure
1639320,Drama
6213822,Drama
5460658,Drama
793469,Drama
11773286,Drama
106207,Drama
6273968,Adventure
1105323,Drama
171045,Comedy
379159,Drama
6210082,Drama
7870716,Crime
3090458,Drama
8147080,Comedy
279624,Drama
3095070,Comedy
5269918,Drama
3375556,Comedy
6389300,Comedy
136694,Comedy
6286072,Drama
343348,Drama
1933537,Drama
2100382,Crime
182675,Adventure
821752,Action
402751,Crime
9752488,Drama
225030,Drama
1104040,Family
6281266,Drama
2266657,Comedy
4712310,Drama
1112632,Comedy
318279,Biography
2083135,Drama
8756898,Comedy
65376,Comedy
428206,Drama
421567,Adventure
874846,Drama
1103200,Action
411085,Comedy
177511,Action
4923926,Comedy
6211520,Crime
5729830,Crime
1087553,Thriller
405652,Comedy
343356,Action
1664631,Drama
7525832,War
7704902,War
2638850,Comedy
6271990,Adventure
10307786,Drama
5836444,Drama
6273926,Crime
385501,Drama
1105325,Comedy
1090298,Adventure
4949010,Drama
60093,Drama
7555858,War
1949115,Adventure
5001328,Drama
2038245,Drama
3413358,Drama
9454842,Animation
2162864,Comedy
7901864,Drama
318289,Action
1111270,Action
11585790,Drama
411108,Comedy
1097210,Drama
1906327,Drama
4910708,Drama
3532890,Comedy
10846014,Drama
4865332,Drama
12094018,Drama
6193598,War
2691726,Crime
7100588,Drama
5994872,Drama
122948,Drama
5397226,Drama
5790588,Comedy
8377790,Drama
4726166,Drama
1091728,Drama
7901610,Drama
1408351,Drama
69727,Drama
421632,Adventure
3526500,Drama
6102028,Drama
830863,Drama
1933540,Drama
6471410,Comedy
249412,Drama
6694126,Comedy
423831,Comedy
384811,Drama
96833,Crime
404784,Comedy
402033,Drama
318312,Drama
5659250,Action
8473532,Drama
6224010,Comedy
3508112,Drama
793471,Drama
1843849,Comedy
1039914,Drama
1844628,Drama
3399154,Drama
400182,Comedy
3526472,Drama
1091730,Drama
6223016,Comedy
6208032,Drama
1107890,Drama
773747,Drama
1521861,Drama
2076799,Comedy
9899850,Crime
826034,Action
3421354,Drama
342062,Drama
71165,Comedy
841083,Drama
4418168,Crime
9403928,Drama
2358899,Drama
11772966,Drama
2388643,Adventure
343381,Adventure
838254,Comedy
1111874,Adventure
845426,Action
1291107,Fantasy
1630572,Comedy
5819870,Drama
7897086,Drama
7259986,Drama
405720,Comedy
4169580,Drama
12888274,Drama
1907617,Drama
997246,Drama
2168360,Comedy
6249970,Comedy
117056,Drama
1974212,Drama
1111908,Drama
3084132,Drama
106330,Drama
3582948,Drama
1413507,Drama
277588,Drama
7581124,Drama
6209534,Drama
3516160,Comedy
12247054,Comedy
6224560,Comedy
2211784,Comedy
3989482,Drama
417457,Adventure
6644234,Comedy
103746,Drama
395461,Drama
6258214,Adventure
5582984,Drama
495677,Drama
429626,Adventure
292945,Drama
299661,Drama
277592,Drama
118849,Drama
343392,Drama
8143764,Drama
209463,Drama
2089625,Drama
1933544,Action
7830580,Drama
5552924,Drama
112445,Drama
103760,Drama
1112637,Drama
10599028,Comedy
7162006,Drama
169580,Drama
777759,Drama
7224776,Crime
1107309,Crime
1933546,Drama
5784080,War
11773484,Drama
68252,Drama
9522162,Drama
953314,Crime
7464002,Action
5009970,Drama
168482,Drama
2266671,Drama
2690678,Animation
1914210,Drama
6208104,Drama
1954260,Drama
254169,Drama
233841,Drama
2388649,Drama
5463152,Comedy
5882860,Drama
4408178,Drama
2083144,Drama
2357790,Drama
2943186,Drama
5693128,Drama
4611766,Drama
13335484,Crime
1764191,Drama
490802,Action
292953,Action
215550,Drama
96894,Drama
2296044,Animation
88842,Drama
1086835,Drama
877591,Drama
821757,War
361340,Drama
1107892,Drama
8249404,Comedy
490803,Drama
343415,Drama
1094625,Crime
13569994,Action
5932722,Drama
2671400,Crime
7758748,Drama
2241035,Drama
3719208,Drama
9293926,Comedy
13712170,Drama
7897478,Action
1908460,Action
1303685,Drama
926040,Drama
1313230,Drama
8577760,Drama
6162560,Comedy
2735362,Drama
4131210,Drama
8166164,Comedy
415607,Drama
243218,Drama
383914,Action
12093996,Drama
5390280,Drama
1139574,Family
3212802,Drama
317137,Drama
12093990,Animation
319045,Drama
2269022,Drama
2671744,Drama
6326558,Crime
11777304,Drama
1843112,Drama
1997291,Drama
2381107,Adventure
2265175,Crime
6045714,Crime
874866,Drama
92651,Drama
2385017,Adventure
470958,Drama
5657546,Drama
6217868,Drama
2127262,Drama
292968,Drama
3726166,Drama
8919218,Drama
2551076,Comedy
400228,Drama
13344348,Drama
1431223,Drama
6302342,Drama
68277,Drama
4359244,Drama
2371281,Action
5460508,Action
2077716,Drama
1086839,Drama
10912640,Drama
12993094,Drama
381060,Drama
383933,Action
7915554,Drama
78893,Drama
433901,Adventure
11773648,Drama
495681,Comedy
1112651,Drama
2998456,Drama
939840,Comedy
234899,Drama
343502,Drama
1086840,Action
112562,Drama
3403142,Drama
262774,Drama
115730,Drama
6215352,Drama
1091746,Drama
9266204,Comedy
1104048,Drama
439477,Drama
1853517,Drama
1094627,Drama
4532606,Drama
11767484,Drama
436151,Drama
1926992,Drama
990425,Drama
477585,Drama
6037320,Adventure
1283889,Drama
77296,Action
12792594,Crime
293023,Comedy
4578920,Comedy
10488882,Comedy
7762434,Comedy
1933552,Comedy
1160709,Action
319162,Drama
6215438,Crime
845439,Drama
1111292,Comedy
4944924,Drama
103937,Drama
1500693,Drama
343526,Comedy
6639882,Comedy
922379,Comedy
3516158,Drama
855752,Drama
907632,Comedy
243171,Comedy
5797570,Crime
2265205,Biography
2234011,Drama
1641614,Drama
1891767,Drama
384875,Drama
3526538,Biography
1106754,Comedy
3470918,Comedy
2499148,Comedy
2258664,Drama
1925408,Drama
5377400,Crime
1438171,Drama
2161896,Drama
12252336,Action
1914226,Action
383983,Drama
429766,Drama
206631,Drama
404875,Adventure
285178,Drama
1683042,Drama
7719186,Adventure
1343028,Drama
336164,Drama
5821276,Comedy
11773204,Comedy
1684628,Drama
3507794,Adventure
3667264,Drama
5906834,Drama
12094024,Comedy
9899880,Comedy
441611,Comedy
6224580,Comedy
6281320,Crime
3716078,Crime
10987040,Crime
13387200,Crime
168682,Drama
1090310,Crime
1086846,Action
433957,Adventure
301978,Drama
7271236,War
259265,Drama
5376718,Action
477607,Drama
99352,Action
1112666,Drama
376554,Drama
283303,Drama
2669634,Drama
72843,Drama
5791288,Comedy
9056646,Drama
4108894,Drama
77398,Drama
122450,Drama
1328613,Drama
1998202,Comedy
4634290,Drama
3269074,Drama
2417530,Drama
1360860,Drama
4242682,Drama
5224720,Drama
9642950,Drama
6217724,Drama
313747,Drama
6243086,Drama
10385482,Drama
66968,Drama
12792588,Drama
293076,Drama
6940740,Action
2912144,Drama
6744318,Drama
419675,Drama
5775176,Drama
92833,Drama
1934227,Crime
2186858,Drama
88992,Drama
1291182,Comedy
6209540,Drama
1629248,Drama
255094,Drama
4359278,War
77403,Drama
1170393,Comedy
6607602,Adventure
11591652,Drama
99392,Drama
431017,Drama
3059786,Drama
125718,Drama
961046,Action
2392355,Drama
793499,Comedy
293082,Drama
6220056,Drama
2351576,Comedy
411276,Crime
1826650,Drama
3820086,Drama
2914020,Comedy
3131744,Action
187809,Drama
5842802,Adventure
317342,Drama
129872,Drama
377772,Drama
8346906,Comedy
11158436,Drama
1116752,Drama
9899860,Drama
7376410,Drama
1907657,Drama
5687444,Drama
104106,Comedy
7164066,Drama
449558,Drama
819880,Drama
1933565,Action
1313108,Drama
5810204,Comedy
259981,Drama
8249374,Drama
87155,Drama
7226698,Comedy
939858,Comedy
2385059,Crime
149302,Drama
212573,Drama
13052070,Drama
1513755,Drama
5483082,Drama
7881364,Comedy
1933566,Drama
757920,Comedy
343600,Drama
3350994,Drama
2325643,Comedy
361527,Drama
424048,Adventure
370473,Drama
233798,Drama
1091763,Drama
411296,Drama
1363365,Thriller
821765,Drama
3547106,Drama
5766064,Comedy
364310,Comedy
1111311,Drama
7678492,Comedy
7825586,Comedy
384050,Drama
4704766,Drama
5389860,Action
4917384,Drama
319314,Comedy
5389740,Adventure
8589358,Comedy
11954824,Drama
389943,Romance
13096500,Drama
12171216,Comedy
5706802,Drama
4916176,Comedy
123046,Adventure
961048,Drama
1111892,Comedy
293111,Action
4498818,Comedy
8037650,Drama
5897312,Crime
7897052,History
401394,Action
6207962,Drama
7941920,Drama
1822212,Comedy
428481,Comedy
8386652,Drama
6393518,Comedy
1924254,Action
9294994,Crime
121973,Comedy
11968836,Drama
99492,Comedy
5463378,Drama
1388418,Action
1431240,Action
2246675,Drama
5468178,Action
8000708,Drama
3509796,Drama
1111894,Drama
333399,Drama
6151774,Drama
6203694,Drama
2040342,Drama
7967752,Drama
428495,Drama
6224632,Drama
5650614,Comedy
6211490,Drama
3785708,Drama
309565,Action
12921354,Romance
1107331,Action
2268437,Drama
284090,Drama
293128,Drama
8374200,Comedy
432400,Adventure
87218,Drama
3414274,Action
3784684,Drama
4079782,Drama
5355896,Drama
270348,Crime
12662544,Drama
4620346,Drama
3138188,Comedy
11771036,Drama
416729,Comedy
6644280,Comedy
5939272,Comedy
945553,Comedy
2265293,Crime
6240914,Comedy
405908,Romance
11531238,Comedy
122060,Action
319400,Drama
