id,name,year,rank
10575054,10 Raghami,2008,3.2
328802,September 11,2002,6.9
12800946,180 Degree Rule,2020,6.4
424757,20 Fingers,2004,6.6
6217672,21 Days Later,2017,6.5
9755608,The 23,2019,6.6
4730990,3 Degrees of Fever,2011,3.3
1173682,Three Women,2008,5.6
4760656,316,2014,7.1
4663708,360 Degree,2015,4.8
7897432,Istanbul Junction,2018,5.5
13491872,Forty Seven,2018,5.1
5689610,50 Kilos of Sour Cherries,2016,3.9
1726583,7:05,2009,4.8
7166300,A House Beside Clouds,2014,5.5
6219484,A House on 41st Street,2016,5.6
8390150,A Long Day,2016,4.8
1515194,A Man Who Ate His Cherries,2009,5.6
9731048,A Man without a Shadow,2019,4.1
6209994,A Romantic Robbery,2016,3.9
8338870,A Tale of Love,2015,6.5
6218814,A Very Ordinary Citizen,2015,6.8
6193572,Inadaptable,2016,5.5
96747,Water-Wind-Dust,1989,6.6
2290097,Aal,2010,3.7
1330177,Over There,2008,6.5
4908854,Aavaar,1986,5.8
318268,Water,1975,7.3
1639320,Water and Fire,2001,6.1
6213822,Abba Jaan,2017,6.1
5460658,Life and a Day,2016,8.2
793469,Abadan,2004,7.3
11773286,Abadan 1160,2020,6.1
106207,The Abadanis,1993,7.1
6273968,Abarmard,1974,3.9
1105323,The Blue,2001,4.4
171045,Abi and Rabi,1930,7.0
379159,The First Letter,2003,6.3
6210082,Sister,2016,7.6
7870716,Lollipop,2016,4.3
3090458,Abraham: The Friend of God,2008,5.1
8147080,Accusation,2010,3.8
279624,Aci hatiralar,1977,4.8
3095070,Actors Studio,2013,6.6
5269918,Adam,2007,5.4
3375556,Iron Man,2013,5.6
6389300,Adam Bash,2016,2.5
136694,Snowman,1995,6.9
6286072,Adam and Eve,1970,5.3
343348,Adamak,1971,6.0
1933537,Adamakha,2002,4.9
2100382,The Killer,2010,4.5
182675,The Nameless Knight,1970,5.5
821752,The Viper,1993,5.2
402751,Morphine-the Scourge of Life,1960,4.2
9752488,African Violet,2019,6.0
225030,The Legend of a Sigh,1991,5.9
1104040,The Legend of Two Sisters,1994,6.7
6281266,Afsongar,2017,3.7
