mid,did
10575054,2170406
328802,149631
328802,321159
328802,408076
328802,327944
328802,500988
328802,516360
328802,538533
328802,619762
328802,653458
328802,576
328802,849786
12800946,5588413
424757,1178113
6217672,8561101
9755608,415417
4730990,2239465
1173682,1248340
4760656,3620498
4663708,1209790
7897432,5394260
13491872,10496444
13491872,12078491
5689610,2155679
1726583,2215054
7166300,9149603
6219484,4402259
8390150,9826318
1515194,3620498
9731048,707200
6209994,1541019
6218814,4219129
6193572,6551798
96747,618881
2290097,2778552
1330177,3213992
4908854,23119
318268,1165540
1639320,423167
6213822,5971240
5460658,7920254
793469,2155679
11773286,6033980
106207,43668
6273968,6934340
1105323,2777567
171045,644928
379159,416119
6210082,6158195
7870716,1472698
3090458,5840069
8147080,267420
279624,947998
3095070,205805
5269918,3213992
3375556,6124821
6389300,2537203
136694,591923
6286072,792763
343348,363067
1933537,3976544
2100382,5968013
182675,716340
821752,7354
402751,1181505
9752488,2343074
225030,586841
1104040,664031
6281266,8609955
2266657,4395326
4712310,3976544
1112632,1030337
318279,596106
2083135,706286
8756898,722091
65376,576529
428206,1033725
421567,1027782
874846,592434
1103200,1366327
1103200,1472698
411085,1033725
177511,368690
4923926,1031887
6211520,2170406
5729830,1288038
1087553,373117
405652,1030500
343356,1367601
1664631,2486183
7525832,6823991
7704902,1167592
2638850,4983993
6271990,792763
10307786,10618407
5836444,2580298
5836444,2761687
6273926,1030428
385501,631744
1105325,1180698
1090298,2129909
1090298,2136377
4949010,1181505
60093,576529
7555858,2799372
1949115,2116766
5001328,1032046
2038245,2312038
3413358,6162768
9454842,10333681
2162864,1360723
7901864,7946221
318289,1173555
1111270,476267
11585790,9327005
411108,1033725
1097210,2770115
1906327,1729119
4910708,7494719
3532890,5070939
10846014,3442813
4865332,5936070
12094018,11476953
6193598,1818089
2691726,1473521
7100588,3155562
5994872,8384806
122948,43668
5397226,792763
5790588,759620
8377790,4404768
4726166,4967820
1091728,994308
7901610,6561914
1408351,3395675
69727,846550
421632,539339
3526500,1802263
6102028,5720226
6102028,5720071
830863,1366327
1933540,1184976
6471410,8562063
249412,801521
6694126,5410627
423831,1033328
384811,476267
96833,538532
404784,9149227
402033,1181969
318312,1171534
5659250,2771536
8473532,9866779
6224010,1818089
3508112,2934166
793471,453953
1843849,3213992
1039914,538533
1844628,576529
3399154,3152881
400182,1033328
3526472,576529
1091730,205805
6223016,2771536
6208032,1715454
1107890,1184976
773747,1729119
1521861,3640095
2076799,946346
9899850,423167
826034,7354
3421354,3492802
3421354,6171887
342062,1186165
71165,326448
841083,2343074
4418168,5394260
9403928,7494719
2358899,1044682
11772966,439312
2388643,994308
343381,994308
838254,586841
1111874,116159
845426,1165540
1291107,1170241
1630572,1715454
5819870,8228309
7897086,953586
7259986,2080959
405720,1033725
4169580,3622498
12888274,9037662
1907617,39743
997246,6498
2168360,2239328
6249970,2746085
117056,70159
1974212,3583858
1111908,1030337
3084132,2611865
106330,368690
3582948,6342626
1413507,3402770
277588,439309
7581124,3442813
6209534,8554570
3516160,1366327
12247054,7781154
6224560,393075
2211784,1368407
3989482,5153673
417457,1031042
6644234,5394260
103746,576529
395461,451592
6258214,792763
5582984,1166680
495677,368688
429626,1031887
292945,1030491
299661,586841
277592,286571
118849,6498
343392,205805
8143764,1029659
209463,452102
2089625,848017
1933544,1287556
7830580,1950200
5552924,1172005
112445,70159
103760,6498
1112637,2413207
10599028,2171381
7162006,1046758
169580,453954
777759,416119
7224776,3442154
1107309,1288038
1933546,368017
1933546,368018
5784080,2202052
11773484,8060042
68252,453953
9522162,5066498
953314,2305459
7464002,1029659
5009970,755788
168482,51999
2266671,759620
2690678,5510199
2690678,8455056
1914210,267198
6208104,8553324
1954260,994308
254169,848017
233841,6498
2388649,994308
5463152,5394260
5882860,7702433
4408178,4428749
2083144,1473521
2357790,1818216
2943186,3300924
5693128,7417322
4611766,5502796
13335484,12008068
1764191,3441853
490802,994308
292953,994308
215550,951725
96894,67323
2296044,5181638
88842,538532
1086835,269805
877591,2414369
821757,2310463
361340,1030491
1107892,1184976
8249404,9757361
490803,708214
343415,664031
1094625,1186165
13569994,12110203
13569994,11909989
5932722,1117275
2671400,5502796
7758748,39744
2241035,368690
3719208,811796
9293926,1650266
13712170,10957747
7897478,368690
1908460,265797
1303685,591925
926040,14160
1313230,368690
8577760,269805
6162560,755788
2735362,5544632
4131210,6854296
8166164,8227871
415607,6498
243218,848017
383914,1029659
12093996,7416097
5390280,1032295
1139574,267326
3212802,5971240
317137,576529
12093990,11476930
319045,363067
2269022,3395675
2671744,994498
6326558,8639634
11777304,9780849
1843112,4322119
1997291,1802263
2381107,994308
2265175,994308
