TradeName,counts,numberOfunits
Abacavir Sulfate,5,431
Abarelix,6,408
Abatacept,7,328
Abciximab,1,30
Abelcet,1,5
Abilify,0,0
Abraxane,3,88
Acamprosate Calcium,4,130
Acarbose,4,293
Accolate,4,221
Accretropin,6,437
AccuNeb,6,243
Accupril,3,192
Accutane,2,85
Acebutolol,2,41
Aceon,1,99
Acetadote,0,0
Acetaminophen,8,588
Acetic Acid,1,118
Aci-Jel,0,0
Aciphex,3,94
Acitretin,4,322
Aclovate,2,193
Acrivastine and Pseudoephedrine,2,75
Actemra,3,184
Acthrel,5,446
Acticin,5,360
Actimmune,6,486
Actiq,0,0
Actisite,3,155
Activase,6,341
Activella,1,19
Actonel,2,129
Actos,5,304
Acular,4,186
Acular LS,3,161
Acuvail,6,422
Acyclovir,4,273
Adacel,1,67
Adagen,4,208
Adalat CC,2,142
Adalimumab,6,302
Adapalene,4,368
Adcirca,2,190
Adderall,7,383
Adderall XR,1,76
Adefovir Dipivoxil,3,132
Adenoscan,6,322
Adenosine,2,190
Adipex-P,5,456
Adoxa,1,66
Adrenalin,3,197
AdreView,1,100
Adriamycin PFS,4,216
Advair Diskus,4,192
Advair HFA,5,379
Advicor,1,82
Aerospan HFA,0,0
Afinitor,3,195
Afluria,2,69
Agalsidase Beta,11,541
Aggrastat,3,188
Aggrenox,1,112
Agrylin,4,217
Ak-Fluor,2,155
Akineton,7,288
Alamast,2,59
Albendazole,4,203
Albenza,4,236
Albumin-Human,2,144
Albuminar,2,106
Albuterol Sulfate,4,115
Albuterol Sulfate Inhalation Aerosol,4,217
Alcaine,3,189
Alclometasone Dipropionate,2,190
Aldactazide,1,78
Aldactone,2,113
Aldara,3,142
Aldesleukin,1,36
Aldomet,3,290
Aldoril,6,388
Aldurazyme,4,189
Alefacept,1,16
Alemtuzumab,0,0
Alendronate Sodium,7,453
Alesse,7,413
Alfenta,4,309
Alfentanil,4,247
Alfuzosin HCl,3,199
Alglucosidase Alfa,0,0
Alimta,3,245
Alinia,2,89
Alitretinoin,1,112
Alkeran,3,177
Allegra,2,116
Allegra D 24 Hour,2,80
