id,fname,lname
2170406,Homayoun,Assadian
149631,Youssef,Chahine
321159,Amos,Gitai
408076,Shôhei,Imamura
327944,Alejandro,G. Iñárritu
500988,Claude,Lelouch
516360,Ken,Loach
538533,Samira,Makhmalbaf
619762,Mira,Nair
653458,Idrissa,Ouedraogo
576,Sean,Penn
849786,Danis,Tanovic
5588413,Farnoosh,Samadi
1178113,Mania,Akbari
8561101,Mohammad,Reza Kheradmandan
415417,Mehdi,Jafari
2239465,Hamid,Reza Salahmand
1248340,Manijeh,Hekmat
3620498,Payman,Haghani
1209790,Sam,Gharibian
5394260,Mostafa,Kiayee
10496444,Ahmad,Otraghchi
12078491,Alireza,Ataolah Tabrizi
2155679,Mani,Haghighi
2215054,Mohammad,Mehdi Asgarpour
9149603,Seyed,Jalal DehghaniAshkezari
4402259,Hamid,Reza Ghorbani
9826318,Babak,Bahrambeygi
707200,Alireza,Raisian
1541019,Amir,Shahab Razavian
4219129,Majid,Barzegar
6551798,Ebrahim,Ebrahimian
618881,Amir,Naderi
2778552,Bahram,Bahramian
3213992,Abdolreza,Kahani
23119,Sirus,Alvand
1165540,Habib,Kavosh
423167,Fereydoun,Jeyrani
5971240,Hatef,Alimardani
7920254,Saeed,Roustayi
6033980,Mehrdad,Khoshbakht
43668,Kianoush,Ayari
6934340,Davood,Esmaeeli
2777567,Hamid,Labkhandeh
644928,Ovanes,Ohanian
416119,Abolfazl,Jalili
6158195,Marjan,Ashrafizadeh
1472698,Hossein,FarahBakhsh
5840069,Mohammad,Reza Varzi
267420,Mehrdad,Farid
947998,Atif,Yilmaz
205805,Alireza,Davoudnejad
6124821,Rahim,Behboodi Far
2537203,Majid,Javanmard
591923,Davood,Mir-Bagheri
792763,Amir,Shervan
363067,Khosrow,Haritash
3976544,Ali,Ghavitan
5968013,Reza,Karimi
716340,Halit,Refig
7354,Mohamad,Reza Aalami
1181505,Mohammad,Ali Jafari
2343074,Mona,Zandi Haqiqi
586841,Tahmineh,Milani
664031,Kambuzia,Partovi
8609955,Hossein,Tabrizi
4395326,Mohammad,Reza Safavi
1030337,Fereydoun,Jourak
596106,Nostratollah,Mohtashem
706286,Ali,Rafie
722091,Rahman,Rezaei
576529,Dariush,Mehrjui
1033725,Syamak,Yasami
1027782,Amin-e-Amini,
592434,Reza,Mirlohi
1366327,Behruz,Afkhami
368690,Ebrahim,Hatamikia
1031887,Khosrow,Parvizi
1288038,Farzad,Motamen
373117,Hassan,Hedayat
1030500,Mehdi,Amir Ghasem Khani
1367601,Manuchehr,Mosayyeri
2486183,Mohammad,Reza Arab
6823991,Mohsen,Mohseni-Nasab
1167592,Ali,Shah Hatami
4983993,Masoud,Atyabi
10618407,Nabi,Gholizadeh
2580298,Farzan,Mohammad Deljou
2761687,Amir,Mojahed
1030428,Abbas,Kasayi
631744,Vahid,Nikkhah Azad
1180698,Masud,Asadollahi
2129909,Bijan,Birang
2136377,Masoud,Rassam
2799372,Rahim,Rahimipoor
2116766,Marzieh,Boroomand
1032046,Esmaeil,Poorsaeid
2312038,Ahmad,Reza Mo'tamedi
6162768,Farzad,Ajdri
10333681,Zohal,Razavi
1360723,Saman,Salur
7946221,Nima,Eghlima
1173555,Shapur,Yasami
476267,Esmail,Kushan
9327005,Mohammad,Reza Keivanfar
2770115,Naghi,Nemati
1729119,Azizollah,Hamidnezhad
7494719,Majid-Reza,Mostafavi
5070939,Ghorban,Mohammadpour
3442813,Hossein,Mahkam
5936070,Hamed,Mohammadi
11476953,Ehsan,Soltanian
1818089,Arash,Moayerian
1473521,Mohammad,Hadi Karimi
3155562,Behnoosh,Sadeghi
8384806,Nahid,Hassanzadeh
759620,Yadollah,Samadi
4404768,Hossein,Namazi
4967820,Pouria,Heidary Oureh
994308,Iraj,Ghaderi
6561914,Soheil,Beiraghi
3395675,Ramtin,Lavafipour
846550,Naser,Taghvai
539339,Naser,Malek Motiee
1802263,Hamid,Nematollah
5720226,Keivan,Alimohammadi
5720071,Omid,Bonakdar
1184976,Shapur,Gharib
8562063,Bahram,Kazemi
801521,Khosrow,Sinai
5410627,Kazem,Rast Goftar
1033328,Nosratolah,Vahdat
538532,Mohsen,Makhmalbaf
9149227,Nader,Hafezi
1181969,Majid,Mohseni
1171534,Aramais,Vartan Yousefians
2771536,Pourya,Azarbayjani
9866779,Mostafa,Sayari
2934166,Reza,Dormishian
453953,Masud,Kimiai
3152881,Bahram,Tavakoli
1715454,Mohsen,Amiryoussefi
3640095,Shahram,Mokri
946346,Adel,Yaraghi
3492802,Narges,Abyar
6171887,Mohammad,Hossein Ghasemi
1186165,Mohammad,Ali Sajjadi
326448,Ebrahim,Golestan
1044682,Alireza,Amini
439312,Niki,Karimi
116159,Alain,Brunet
1170241,Mohammad,Reza Aslani
8228309,Ali,Fakhr Mousavi
953586,Bahman,Zarrinpour
2080959,Sadaf,Foroughi
3622498,Morteza,Farshbaf
9037662,Milad,Jarmooz
39743,Saeed,Assadi
6498,Majid,Majidi
2239328,Parviz,Noori
2746085,Parviz,Sabri
70159,Jafar,Panahi
3583858,Negar,Azarbayjani
2611865,Farajollah,Salahshoor
6342626,Abolfazl,Saffary
3402770,Ramin,Mohseni
439309,Iraj,Karimi
8554570,Mohammad,Hamzei
7781154,Omid,Niaz
393075,Mohamad,Reza Honarmand
1368407,Hamid,Amjad
5153673,Nasser,Zamiri
1031042,Hossein,Madani
451592,Nacer,Khemir
1166680,Saeed,Neyvandi
368688,Ali,Hatami
1030491,Samuel,Khachikian
286571,Ebrahim,Forouzesh
1029659,Kamran,Ghadakchian
452102,Abbas,Kiarostami
848017,Mohammad-Ali,Talebi
1287556,Jahangir,Jahangiri
1950200,Kazem,Ma'asoumi
1172005,Ghodratallah,Ehsani
2413207,Nasser,Mohammadi
2171381,Behrouz,Shoaybi
1046758,Siamak,Shayeghi
453954,Parviz,Kimiavi
3442154,Bahman,Goodarzi
368017,Mehdi,Hashemi
368018,Naser,Hashemi
2202052,Rasool,Mollagholi Poor
8060042,Behtash,Sanaeeha
5066498,Mehrdad,Ghafarzadeh
2305459,Amir,Ghavidel
755788,Reza,Safai
51999,Rakhshan,Banietemad
5510199,Elham,Gharehkhani
8455056,Mehrtash,Mahdavi
267198,Mohamad,Ali Fardin
8553324,Ehsan,Biglari
7702433,Hadi,Mohaghegh
4428749,Mehdi,Rahmani
1818216,Payman,Maadi
3300924,Ali,Jaberansari
7417322,Mohammad,Reza Moeini
5502796,Amir,Ahmad Ansari
12008068,Yaser,Parsa
3441853,Esmaeil,Mihandoost
951725,Ahmad,Ramezan Zadeh
67323,Bahram,Beizai
5181638,Kianoush,Dalvand
269805,Bayram,Fazli
2414369,Ghasem,Jafari
2310463,Koopal,Meshkat
9757361,Majid,Kashi Froshan
708214,Gholam,Reza Ramezani
12110203,Arya,Safaee
11909989,Javad,Safaee
1117275,Mohsen,Abdolvahab
39744,Shahram,Assadi
811796,Reza,Sobhani
1650266,Mohammad,Hossein Latifi
10957747,Arash,Sanjabi
265797,Mehdi,Fakhimzadeh
591925,Reza,Mirkarimi
14160,Kiumars,Poorahmad
5544632,Morteza,Harandi
6854296,Amirhossein,Asgari
8227871,Borzou,Niknejad
7416097,Hamid,Salimian
1032295,Esmaeil,Riyahi
267326,Dariush,Farhang
11476930,Mohsen,Enayati
994498,Ahmad,Amini
8639634,Alireza,Samadi
9780849,Behrang,Dezfulizadeh
4322119,Asghar,Nayeimi
2747521,Bahram,Mohammadipoor
4696155,Masud,Amini Tirani
3443403,Mohammad,Ali Bashe Ahangar
643136,George,Obadiah
5690805,Kaveh,Sajjadi
1032224,Mehdi,Raeis-Firooz
201266,Hajir,Dariush
4769460,Hassan,Nazer
706173,Abbas,Rafei
768558,Parviz,Sayyad
1031383,Mehdi,Mirsamadzadeh
2025707,Bozorgmehr,Rafia
5747176,Hamid,Reza Mohseni
205827,Abolhassan,Davoodi
1287068,Kioumars,Derambakhsh
6152160,Mohammad,Reza Khaki
267715,Bahman,Farmanara
8559015,Majid,Tavakoli
4247387,Kaveh,Mazaheri
750709,Steven,Rush
538529,Hana,Makhmalbaf
4904858,Mohammad,Kart
1488024,Mohammad,Rasoulof
2206885,Saman,Moghadam
255386,Orhan,Elmas
